,nconst,Catégorie,primaryName
9900,nm0000383,Acteur,Jennifer Ehle
9907,nm0000384,Compositeur,Danny Elfman
9918,nm0000384,Acteur,Danny Elfman
9950,nm0000385,Acteur,Sam Elliott
9974,nm0000386,Réalisateur,Roland Emmerich
9982,nm0000386,Producteur,Roland Emmerich
9992,nm0000387,Acteur,Robert Englund
9995,nm0000387,Réalisateur,Robert Englund
10015,nm0000388,Acteur,R. Lee Ermey
10024,nm0000389,Acteur,Emilio Estevez
10045,nm0000389,Réalisateur,Emilio Estevez
10047,nm0000391,Acteur,Rupert Everett
10068,nm0000392,Acteur,Morgan Fairchild
10076,nm0000393,Acteur,Peter Falk
10107,nm0000394,Acteur,Chris Farley
10112,nm0000395,Acteur,Terry Farrell
10115,nm0000396,Acteur,Farrah Fawcett
10124,nm0000397,Acteur,Corey Feldman
10135,nm0000398,Acteur,Sally Field
10149,nm0000398,Producteur,Sally Field
10158,nm0000398,Réalisateur,Sally Field
10163,nm0000399,Réalisateur,David Fincher
10173,nm0000400,Acteur,Linda Fiorentino
10187,nm0000401,Acteur,Laurence Fishburne
10218,nm0000402,Acteur,Carrie Fisher
10232,nm0000403,Acteur,Bridget Fonda
10253,nm0000404,Acteur,Jane Fonda
10293,nm0000405,Acteur,Michelle Forbes
10298,nm0000406,Réalisateur,John Ford
10320,nm0000407,Acteur,Vivica A. Fox
10338,nm0000408,Acteur,Jonathan Frakes
10341,nm0000408,Réalisateur,Jonathan Frakes
10346,nm0000409,Acteur,Brendan Fraser
10380,nm0000410,Acteur,Stephen Fry
10388,nm0000410,Réalisateur,Stephen Fry
10392,nm0000411,Acteur,Edward Furlong
10418,nm0000412,Acteur,Andy Garcia
10453,nm0000413,Acteur,Janeane Garofalo
10470,nm0000414,Acteur,Teri Garr
10488,nm0000415,Acteur,Jami Gertz
10499,nm0000415,Producteur,Jami Gertz
10501,nm0000416,Acteur,Terry Gilliam
10503,nm0000416,Réalisateur,Terry Gilliam
10517,nm0000417,Acteur,Crispin Glover
10525,nm0000417,Réalisateur,Crispin Glover
10537,nm0000418,Acteur,Danny Glover
10581,nm0000419,Réalisateur,Jean-Luc Godard
10597,nm0000419,Producteur,Jean-Luc Godard
10601,nm0000419,Acteur,Jean-Luc Godard
10621,nm0000420,Acteur,Valeria Golino
10640,nm0000420,Réalisateur,Valeria Golino
10645,nm0000421,Acteur,Cuba Gooding Jr.
10682,nm0000422,Acteur,John Goodman
10735,nm0000423,Acteur,Serena Grandi
10740,nm0000424,Acteur,Hugh Grant
10767,nm0000425,Réalisateur,Peter Greenaway
10781,nm0000426,Acteur,Jennifer Grey
10788,nm0000427,Acteur,Pam Grier
10808,nm0000429,Acteur,Melanie Griffith
10835,nm0000430,Acteur,Steve Guttenberg
10861,nm0000431,Réalisateur,Taylor Hackford
10865,nm0000431,Producteur,Taylor Hackford
10876,nm0000432,Acteur,Gene Hackman
10942,nm0000433,Acteur,Corey Haim
10952,nm0000434,Acteur,Mark Hamill
10967,nm0000435,Acteur,Daryl Hannah
